Demographic variable,Response,ees,mw_p,op_p,lm_p,mt_p,ld_p,if_p,rw_p,pb_p,lc_p,HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
J1A,Male,63.917,78.379,82.071,74.207,83.884,57.05,81.635,74.579,35.558,53.581,26.448,73.69,90.019,84.078,79.146,62.436,76.177,79.792,84.348,76.208,87.136,84.853,70.273,81.15,83.561,71.509,68.037,72.678,46.599,88.495,85.395,77.767,65.85,51.851,58.469,52.001,84.396,89.187,73.264,79.683,71.701,78.297,88.265,72.106,65.241,71.846,36.009,41.151,29.509,68.299,64.778,52.939,56.22,39.077,37.446,67.329,42.192,53.911,63.691,62.187,55.153,54.498,52.26,49.499,36.78,90.497,71.933,70.621,75.649,81.145,56.541,71.739,6.073,11.186,29.492,53.249,90.931,69.145,73.61,8.24,18.516,10.145,14.008,14.867,10.107,0.205,24.47,4.321,1.773,13.57,13.551,0.7,4.489,2.716,3.761,7.018,17.116,16.491,21.755,7.55,6.976,11.58,2.351,27.553,39.508,1.247,36.781,46.837,27.133,39.618,36.56,24.914,3.312,4.515,7.97,10.84,15.653,2.682,38.124,11.133,33.001,31.47,4.469,2.029,1.375,2.262,2.706,1.597,3.072,7.485,36.896,12.285,37.683,63.422,35.924,59.994,66.493,57.761,47.719,71.894,72.362,5.348,76.428
J1A,Female,66.383,78.321,86.306,73.707,84.812,60.128,81.805,76.523,40.953,56.51,26.824,74.637,91.797,84.689,81.256,58.978,74.85,85.331,87.281,76.122,87.146,84.007,71.281,79.955,83.287,71.485,69.048,72.278,42.388,88.942,86.173,79.33,70.975,55.783,61.25,52.486,84.225,89.038,73.242,80.691,73.278,80.426,88.49,76.442,66.396,74.1,39.69,47.786,35.403,73.465,67.52,60.181,60.432,45.164,40.35,69.78,40.408,51.285,69.072,65.697,57.539,60.284,56.903,55.186,41.616,91.687,71.292,74.194,68.493,81.85,65.425,74.331,4.777,9.531,26.945,58.746,91.413,68.477,75.453,9.539,15.477,15.436,14.916,10.756,17.735,0.267,22.114,2.723,1.396,13.158,7.15,2.463,1.984,3.277,1.266,4.242,16.723,20.623,17.81,6.589,8.561,9.669,6.187,25.145,37.831,0.587,39.386,42.373,22.798,36.01,35.134,25.343,2.827,4.191,8.984,12.336,15.635,2.454,43.07,9.813,30.932,23.482,5.652,2.188,1.224,1.453,1.553,1.017,2.532,8.674,47.257,19.234,46.658,57.219,31.421,60.324,69.105,58.29,42.514,68.313,69.561,5.64,79.229
J1A,Other,55.216,67.996,71.401,65.88,74.449,51.946,70.72,67.185,31.388,46.087,33.057,65.06,83.268,71.595,71.094,44.922,68.872,69.261,73.541,66.537,84.047,77.432,54.864,71.206,76.654,64.591,60.392,70.428,33.074,79.377,75.781,68.093,55.253,51.362,52.529,48.638,75.097,80.934,64.202,62.646,62.646,67.704,85.214,63.813,58.755,64.981,31.25,37.354,25.681,70.039,57.198,44.747,50.973,28.794,31.128,55.469,32.422,43.969,50.195,56.25,39.063,41.634,40.856,40.078,27.344,82.49,67.315,60.7,56.42,61.089,56.809,64.844,11.765,17.255,38.431,32.549,91.27,52.59,57.769,24.514,14.286,6.349,36.508,7.937,31.746,33.333,31.746,4.762,3.175,22.222,17.46,3.175,4.762,9.524,22.222,9.524,14.286,14.286,12.698,1.587,20.233,19.231,1.923,21.154,36.538,0,53.846,50,36.538,44.231,53.846,28.846,3.846,5.769,17.308,26.923,23.077,1.923,48.077,17.308,34.615,32.692,0,1.923,0,0,0,1.923,5.769,3.846,32.692,12,32.692,75,41.176,35.857,35.458,34.661,25.498,38.976,47.244,22.835,70.472
J1B,Cisgender,64.925,77.931,84.179,73.369,83.995,58.187,81.124,75.235,38.017,54.566,26.979,74.02,90.77,84.191,79.914,59.843,74.902,82.622,85.735,75.539,86.7,83.83,70.26,79.878,82.898,70.964,67.973,71.779,43.796,88.435,85.473,78.081,68.218,53.481,59.363,51.666,83.646,88.635,72.463,79.735,71.976,79.083,88.15,74.055,65.463,72.671,37.513,44.259,32.288,70.606,65.625,56.334,57.792,41.82,38.478,68.142,40.59,51.684,66.054,63.359,55.935,56.972,54.096,51.838,38.821,90.842,70.863,72.026,71.125,81.118,61.134,72.509,5.507,10.427,28.151,55.915,91.209,68.74,74.073,9.188,16.45,13.153,14.407,12.348,14.331,0.12,23.183,3.365,1.551,13.36,9.823,1.652,2.984,2.962,2.172,5.468,16.906,18.874,19.63,7.76,8.112,10.315,4.435,26.123,38.433,0.84,38.271,44.314,24.541,37.785,35.717,25.214,2.951,4.303,8.686,11.692,15.782,2.887,40.963,10.064,31.686,26.521,5.109,2.071,1.262,1.78,1.947,1.198,2.717,9.123,42.353,15.889,42.094,59.955,33.098,59.831,67.623,57.74,44.731,69.582,70.568,5.532,77.403
J1B,Transgender-Other,61.837,71.682,78.827,68.923,78.351,54.597,73.111,71.496,35.361,50.366,30.448,69.94,86.178,76.672,73.786,53.266,68.478,76.187,81.5,72.204,81.287,78.722,64.765,73.099,77.667,67.866,64.874,65.442,42.797,83.319,80.368,71.345,61.269,52.887,53.518,50.628,74.603,82.692,66.527,68.65,69,74.667,85.129,69.199,64.47,66.917,36.424,38.494,30.936,65.167,58.612,50.838,52.961,40.134,39.033,61.789,38.931,45.948,60.167,60.385,51.297,54.812,51.591,47.492,35.756,85.213,63.826,63.241,61.288,67.947,57.561,64.538,9.167,13.12,30.109,47.603,84.786,59.45,60.708,18.182,16.972,7.798,21.56,15.596,24.312,24.312,21.56,5.963,1.376,16.514,11.468,2.294,2.752,7.798,14.679,5.505,15.138,12.844,10.092,9.174,14.595,13.714,9.143,24,35.429,2.286,40.571,45.714,26.857,42.286,38.857,24,4.571,6.286,14.286,18.857,16,2.286,39.655,14.368,37.931,27.586,2.299,1.149,0.575,0.575,4.023,2.299,5.172,6.322,39.181,16.766,33.721,61.272,49.254,49.831,55.593,48.294,36.194,61.889,67.173,12.521,69.664
J1C,Cis-Male,63.994,78.497,82.2,74.322,83.992,57.141,81.791,74.653,35.598,53.693,26.371,73.762,90.1,84.198,79.272,62.543,76.336,79.93,84.468,76.311,87.296,84.976,70.393,81.31,83.691,71.596,68.135,72.851,46.602,88.6,85.498,77.878,65.984,51.892,58.589,52.073,84.578,89.301,73.393,79.884,71.791,78.377,88.321,72.202,65.281,71.925,36.024,41.253,29.514,68.451,64.943,53.045,56.364,39.112,37.487,67.498,42.252,54.052,63.828,62.352,55.224,54.587,52.343,49.62,36.809,90.618,72.109,70.813,75.848,81.367,56.613,71.969,5.99,11.157,29.518,53.335,91.085,69.262,73.864,8.138,18.462,10.043,14.012,14.829,10.082,0.135,24.623,4.325,1.768,13.609,13.417,0.692,4.45,2.653,3.691,7.054,17.03,16.492,21.893,7.496,6.901,11.578,2.225,27.548,39.569,1.237,36.799,46.958,27.151,39.444,36.504,24.869,3.269,4.472,7.923,10.817,15.653,2.622,38.273,11.117,32.874,31.291,4.499,2.016,1.367,2.267,2.688,1.606,3.11,7.472,36.874,12.434,37.97,63.43,35.392,60.133,66.65,57.883,47.84,71.923,72.341,5.313,76.594
J1C,Cis-Female,66.455,78.406,86.392,73.805,84.873,60.238,81.933,76.624,41.055,56.637,26.765,74.683,91.858,84.764,81.353,59.077,74.942,85.434,87.351,76.222,87.247,84.105,71.379,80.067,83.389,71.58,69.164,72.409,42.413,88.999,86.236,79.394,71.107,55.867,61.372,52.586,84.369,89.131,73.354,80.852,73.401,80.519,88.553,76.558,66.495,74.205,39.783,47.912,35.489,73.581,67.681,60.322,60.592,45.271,40.456,69.929,40.491,51.407,69.207,65.85,57.603,60.392,57.027,55.302,41.7,91.776,71.402,74.363,68.605,82.007,65.495,74.473,4.734,9.5,26.939,58.827,91.421,68.496,75.589,9.452,15.403,15.508,14.843,10.677,17.713,0.091,22.047,2.717,1.379,13.134,7.134,2.464,1.932,3.13,1.211,4.222,16.698,20.654,17.937,6.504,8.52,9.603,6.125,25.107,37.862,0.543,39.461,42.287,22.615,35.859,35.075,25.324,2.74,4.146,8.92,12.289,15.597,2.414,43.173,9.788,30.642,23.418,5.704,2.229,1.231,1.418,1.496,0.99,2.509,8.705,47.369,19.271,46.863,57.077,31.149,60.425,69.214,58.381,42.558,68.372,69.612,5.603,79.335
J1C,Trans-Male,66.597,73.479,82.436,73.023,79.829,58.676,78.312,76.846,43.959,57.418,27.132,71.855,86.667,77.577,74.103,58.915,69.767,79.231,85.641,77.635,81.186,80.052,70.573,77.062,79.231,72.751,70.951,68.38,52.196,84.833,83.247,71.649,63.753,55.844,57.922,56.477,77.121,86.923,72.021,77.003,75.641,79.744,87.404,74.742,71.538,72.051,47.423,43.005,41.085,68.718,64.691,59.278,58.974,48.196,48.586,67.436,48.072,52.442,68.205,67.01,59.794,64.341,62.274,54.78,42.051,85.567,64.175,67.784,69.33,74.615,61.082,67.792,8.312,11.688,30.909,49.091,78.919,59.673,60.822,14.729,17.544,5.263,19.298,17.544,10.526,12.281,12.281,8.772,1.754,10.526,15.789,1.754,1.754,3.509,17.544,5.263,14.035,7.018,7.018,14.035,11.054,6.977,13.953,30.233,34.884,2.326,32.558,41.86,18.605,41.86,34.884,23.256,4.651,6.977,9.302,13.953,11.628,0,39.535,16.279,32.558,30.233,4.651,0,0,0,0,0,0,6.977,59.524,11.905,37.209,60.465,48,54.45,60.892,52.785,40.263,74.869,79.79,9.948,69.251
J1C,Trans-Female,65.522,75.194,83.592,72.673,82.902,58.204,78.095,74.516,37.997,53.973,28.3,72.619,89.637,80.679,77.546,56.623,71.875,81.137,86.234,75.781,86.198,83.333,69.61,77.865,82.338,69.713,67.192,68.75,44.909,87.013,83.117,78.442,67.188,55.325,57.552,53.506,80.94,86.877,71.354,73.368,73.247,79.481,88.542,71.503,65.455,69.87,37.662,43.75,32.292,68.653,61.719,54.83,58.442,43.896,41.451,66.319,40.625,49.741,66.15,65.714,58.182,61.558,55.584,52.972,40,88.86,69.351,67.876,64.156,72.987,57.922,68.49,5.974,10.649,23.636,59.74,87.013,63.021,67.192,16.796,16.923,6.154,10.769,23.077,29.231,33.846,26.154,3.077,0,15.385,4.615,0,1.538,7.692,6.154,1.538,15.385,10.769,1.538,7.692,13.472,11.538,13.462,17.308,34.615,3.846,30.769,42.308,30.769,34.615,26.923,13.462,3.846,5.769,9.615,17.308,9.615,3.846,38.462,15.385,44.231,17.308,1.923,0,1.923,1.923,7.692,3.846,9.615,1.923,38,30.612,37.255,48.077,47.368,55.208,64.323,52.742,38.12,64.767,70.725,10.13,75.325
J1C,Other,55.216,67.996,71.401,65.88,74.449,51.946,70.72,67.185,31.388,46.087,33.057,65.06,83.268,71.595,71.094,44.922,68.872,69.261,73.541,66.537,84.047,77.432,54.864,71.206,76.654,64.591,60.392,70.428,33.074,79.377,75.781,68.093,55.253,51.362,52.529,48.638,75.097,80.934,64.202,62.646,62.646,67.704,85.214,63.813,58.755,64.981,31.25,37.354,25.681,70.039,57.198,44.747,50.973,28.794,31.128,55.469,32.422,43.969,50.195,56.25,39.063,41.634,40.856,40.078,27.344,82.49,67.315,60.7,56.42,61.089,56.809,64.844,11.765,17.255,38.431,32.549,91.27,52.59,57.769,24.514,14.286,6.349,36.508,7.937,31.746,33.333,31.746,4.762,3.175,22.222,17.46,3.175,4.762,9.524,22.222,9.524,14.286,14.286,12.698,1.587,20.233,19.231,1.923,21.154,36.538,0,53.846,50,36.538,44.231,53.846,28.846,3.846,5.769,17.308,26.923,23.077,1.923,48.077,17.308,34.615,32.692,0,1.923,0,0,0,1.923,5.769,3.846,32.692,12,32.692,75,41.176,35.857,35.458,34.661,25.498,38.976,47.244,22.835,70.472
