"Demographic variable [1, 5, 6]",Response,Count,ees [2],mw_p [3],op_p [3],lm_p [3],mt_p [3],ld_p [3],if_p [3],rw_p [3],pb_p [3],lc_p [3],HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
Z02,AO/AA,55824,61.434,66.232,80.494,68.9,78.026,51.138,75.778,75.492,29.103,47.611,29.882,70.922,84.687,74.929,71.83,43.566,56.088,78.905,82.085,71.001,81.349,75.356,66.122,74.459,78.852,66.928,65.11,66.393,43.357,85.884,80.559,67.647,65.409,47.07,52.107,39.966,78.013,85.723,63.191,76.135,68.221,78.885,85.194,71.876,71.701,77.071,26.027,35.917,25.371,61.152,56.702,50.628,48.804,41.552,34.822,60.723,31.765,42.347,59.219,55.691,48.512,53.063,49.845,40.915,29.105,89.807,58.79,67.685,64.21,77.526,53.523,64.684,7.051,10.07,22.636,60.243,84.724,64.438,69.454,10.048,13.838,15.825,18.403,10.455,8.754,0.107,20.892,3.312,1.45,17.419,10.079,1.289,3.437,1.969,0.519,3.509,18.815,23.487,20.301,7.787,8.382,12.497,5.046,28.645,33.82,1.31,38.222,41.787,17.672,42.173,33.648,17.93,5.046,6.764,10.092,16.083,17.608,3.35,45.876,6.332,33.017,25.824,0.582,0.862,1.077,1.034,2.477,1.723,2.865,10.834,42.943,16.156,42.943,57.741,35.51,57.028,64.171,55.458,43.743,66.476,67.126,6.983,72.158
Z02,EO,61764,64.169,75.464,84.694,72.574,83.057,58.543,80.018,76.916,36.774,52.257,27.87,73.681,90.057,83.324,79.526,54.591,69.781,83.293,86.096,74.712,85.984,81.751,70.685,77.626,82.002,71.308,67.812,70.781,43.007,87.984,84.916,76.282,70.88,54.648,59.155,49.459,81.873,87.797,70.821,79.551,72.328,79.618,86.83,75.187,69.895,77.614,34.71,43.692,31.92,66.334,62.07,56.055,53.76,43.258,38.057,66.32,36.246,48.135,63.681,62.188,55.273,56.868,53.961,47.727,37.882,89.757,68.029,70.283,68.422,80.948,61.559,69.367,5.614,9.157,23.417,61.811,91.677,70.253,73.484,10.531,14.658,15.66,15.136,11.837,10.62,0.108,20.299,3.098,1.464,14.612,9.279,1.218,3.483,2.867,0.694,3.514,21.625,21.748,20.592,8.261,8.701,10.599,4.087,27.878,35.977,0.821,38.739,43.31,21.851,40.754,36.126,22.448,2.836,5.878,9.759,12.894,16.962,3.023,43.968,7.194,33.814,25.909,4.29,0.993,0.787,0.768,2.211,1.442,2.698,9.217,42.464,15.298,40.862,60.73,34.393,60.416,67.796,58.431,45.86,68.707,69.139,5.72,76.456
Z02,SEO/HEO,81858,66.494,83.316,85.627,76.204,86.729,61.569,84.58,76.133,41.032,58.186,25.292,75.124,92.976,88.062,82.926,67.644,84.949,84.077,87.173,78.07,90.688,88.807,71.973,83.548,85.871,74.273,70.418,75.565,42.746,89.659,87.592,82.946,69.819,55.747,63.488,57.199,87.451,90.634,77.413,82.809,73.502,79.126,88.673,74.951,65.991,74.547,41.442,47.976,33.7,75.855,70.348,60.139,62.548,42.14,40.168,72.237,43.948,56.259,69.299,67.529,58.781,58.62,55.688,56.523,41.913,92.349,77.646,75.507,74.344,83.83,63.642,76.867,4.511,9.766,29.499,56.224,93.991,69.262,76.903,7.958,18.355,10.625,10.902,13.89,17.339,0.077,27.856,3.542,1.14,9.655,9.871,1.94,2.633,2.864,0.678,6.452,14.105,15.63,20.157,6.96,7.29,8.381,3.577,23.111,41.518,0.453,37.941,47.363,28.048,35.035,34.666,29.375,1.915,2.872,7.172,8.717,14.192,2.486,37.048,12.023,31.78,26.275,8.055,2.195,1.013,2.516,1.182,0.642,2.432,7.785,42.164,17.319,44.347,58.364,31.425,62.279,69.718,59.592,46.273,72.103,72.542,4.668,80.323
Z02,G6/7,42613,67.257,87.304,86.424,76.335,89.289,61.146,85.472,73.431,46.848,60.442,24.448,76.828,95.671,91.312,85.839,74.895,88.789,84.817,88.026,78.972,90.27,90.381,73.277,84.746,85.408,71.429,68.118,75.189,45.493,91.433,89.988,86.444,67.611,54.832,63.758,58.357,88.301,91.864,79.494,82.228,75.168,79.054,92.59,75.596,55.157,63.018,49.388,51.882,39.295,79.042,72.579,57.494,65.442,40.105,41.011,75.247,51.447,61.625,71.065,68.96,60.735,59.154,56.789,64.217,48.688,92.685,79.985,75.538,77.896,84.056,70.382,80.167,4.363,12.229,36.575,46.833,96.706,74.324,79.225,6.765,19.471,11.787,8.623,15.403,21.836,0.07,22.705,2.643,1.46,6.467,9.388,3.199,2.191,3.651,0.382,8.206,11.892,14.395,17.211,6.85,6.768,6.254,2.189,20.014,43.468,0.139,35.441,43.989,30.924,30.716,36.379,30.16,0.973,1.598,4.656,5.177,13.03,2.467,32.567,16.44,26.228,28.77,8.917,4.493,2.16,2.995,1.219,0.488,2.647,6.583,42.678,16.814,43.322,62.931,25.696,61.559,71.413,59.212,44.334,73.018,74.034,3.611,82.696
Z02,SCS,5576,77.978,94.993,94.279,86.402,96.508,75.828,92.224,79.585,48.594,77.678,16.673,83.332,98.655,96.586,94.705,90.613,94.439,93.113,95.445,89.064,90.999,94.471,87.547,92.276,91.151,80.133,80.78,83.183,74.389,97.075,96.515,95.944,81.82,71.508,75.049,74.928,94.169,95.973,89.692,89.06,89.216,90.989,97.303,84.456,56.357,59.199,51.382,54.751,39.677,90.203,86.912,72.984,83.268,59.58,62.071,87.356,76.629,80.158,85.463,81.519,76.042,77.734,76.956,85.432,76.203,96.09,89.521,86.682,92.398,92.102,84.291,92.724,3.327,13.055,39.633,43.985,98.012,89.4,89.358,3.499,14.359,12.821,9.231,12.821,21.538,0,13.846,0.513,1.538,6.154,12.308,2.564,3.077,4.615,0.513,9.231,7.692,14.359,18.974,8.205,3.946,6.364,1.364,23.182,47.273,0,39.545,36.364,27.727,29.545,29.545,19.091,0.909,2.727,2.727,3.636,13.636,2.727,17.727,19.545,25.455,35.455,8.636,5.909,1.818,1.818,0.455,1.364,4.545,8.636,38.636,16.59,42.466,56.364,21.429,69.903,82.225,69.278,52.181,81.934,79.568,2.141,91.213
H01,East Midlands (England),11821,65.75,78.024,85.343,73.565,84.268,58.79,81.221,76.405,37.586,55.147,26.833,74.631,91.038,84.586,81.21,59.715,73.552,83.92,86.756,75.775,86.498,83.465,71.373,79.245,82.463,71.913,68.266,72.258,44.32,88.629,85.655,78.563,69.59,55.032,59.399,51.114,83.422,88.357,72.334,80.716,72.25,80.795,88.405,74.55,67.651,74.801,36.268,43.87,32.585,70.13,66.014,57.792,58.049,43.628,39.539,68.135,40.575,52.523,67.24,62.602,59.064,58.62,55.355,50.694,38.722,91.26,70.655,73.082,72.532,83.067,60.036,72.107,4.82,8.919,25.187,61.074,90.157,69.833,74.596,9.354,16.667,15.942,16.667,14.04,12.681,0,19.746,1.902,1.721,15.58,10.145,1.359,3.442,2.536,0.906,3.895,17.754,21.286,20.471,7.971,8.753,10.506,4.086,25.973,33.268,1.07,35.992,42.315,19.65,37.354,33.658,22.082,3.016,4.572,8.074,11.187,15.078,3.599,44.078,8.35,30.777,23.786,5.631,1.262,0.583,1.165,2.718,1.456,1.942,9.709,43.525,17.723,44.098,56.825,29.372,61.87,69.201,58.933,46.674,69.797,68.889,5.539,76.91
H01,East of England,10345,63.975,77.178,83.496,71.821,82.318,56.434,79.914,74.056,36.248,51.197,28.08,74.138,91.102,84.556,79.643,57.958,72.643,82.145,84.862,73.322,85.225,82.203,68.336,77.735,81.242,69.869,66.502,70.803,42.834,87.205,83.808,75.941,68.24,52.513,55.663,49.298,81.973,87.607,70.52,79.505,70.792,79.045,87.369,70.756,63.824,72.575,35.49,42.321,30.971,65.371,62.663,54.052,53.831,38.835,34.547,65.345,37.223,48.82,64.922,58.232,57.006,54.797,51.258,47.276,35.356,90.542,69.825,70.715,72.214,80.853,57.94,69.926,5.521,9.072,25.517,59.891,90.411,70.308,72.663,10.309,16.729,13.722,13.534,11.278,13.158,0.282,18.327,2.82,1.41,12.97,10.714,0.94,3.383,3.383,0.376,5.075,19.549,19.079,20.865,8.929,9.19,9.66,3.609,30.573,39.597,0.955,37.261,41.72,22.399,40.34,35.775,25.159,2.866,4.459,9.342,11.783,16.136,3.079,43.436,8.218,33.298,26.681,4.803,1.281,1.814,0.747,3.095,1.708,2.561,8.004,43.557,16.865,37.088,60.148,33.333,61.978,69.062,59.161,47.366,70.736,70.431,5.319,77.269
H01,London,51806,65.884,80.302,83.557,74.275,84.976,58.198,81.785,74.124,35.996,57.344,26.192,74.566,92.048,84.263,80.975,64.352,79.86,81.557,85.552,77.258,87.523,86.275,69.388,81.932,84.321,71.112,69.234,72.818,42.818,88.453,86.082,80.409,66.718,53.049,60.225,52.757,84.815,89.223,75.742,77.369,74.022,77.403,89.384,75.937,60.831,67.133,37.269,39.974,30.767,76.362,69.032,55.877,62.462,43.291,39.804,71.355,44.88,53.004,68.999,65.817,55.043,58.052,55.261,57.477,41.808,91.188,73.19,70.697,69.809,78.783,65.193,76.043,5.983,15.339,38.736,39.942,93.055,64.862,73.265,8.408,19.267,10.924,12.215,26.596,18.484,0.069,28.301,4.863,1.268,9.242,8.573,2.259,4.148,2.881,0.507,8.366,11.039,15.441,18.46,8.596,7.821,9.082,3.86,22.668,40.955,0.569,36.897,48.305,29.027,38.654,36.154,29.943,3.069,4.157,7.696,9.28,15.466,3.143,36.581,12.525,33.375,27.634,5.368,3.355,1.218,1.914,0.944,1.019,2.957,8.698,41.882,15.499,41.93,60.358,32.957,59.505,68.632,58.098,42.572,72.871,72.905,4.762,78.33
H01,North East England,16189,63.426,74.917,85.315,74.038,85.179,60.025,81.33,76.663,38.301,55.466,27.007,73.621,88.226,83.853,78.324,55.446,68.677,84.13,86.489,75.91,86.758,82.348,73.246,79.555,82.738,72.991,68.777,71.83,46.157,90.437,87.095,77.999,71.256,54.394,63.997,50.451,83.165,89.497,70.234,82.366,71.599,79.336,85.453,75.057,70.585,77.975,36.232,46.094,32.571,69.915,65.064,59.128,56.834,45.623,41.133,69.076,39.85,52.659,60.89,61.196,54.863,56.658,54.507,51.221,40.668,90.525,69.756,75.424,72.341,83.953,69.158,72.837,6.342,7.921,21.46,64.276,93.583,75.906,77.311,8.866,12.151,16.83,16.271,5.726,9.288,0.209,16.271,1.885,0.768,17.737,8.45,1.257,2.654,2.095,1.117,3.003,19.553,24.651,20.391,8.45,7.254,7.411,2.981,25.213,32.879,0.511,40.375,43.526,20.698,39.353,36.968,20.273,4.003,5.877,7.836,12.181,16.78,3.152,41.01,5.908,34.161,27.312,4.538,0.771,0.599,0.514,1.284,1.284,2.055,10.616,41.866,16.696,48.332,58.39,29.508,59.582,67.566,57.312,45.207,66.427,67.148,5.398,78.466
H01,North West England,28914,64.286,76.295,85.832,74.153,84.831,58.6,81.433,76.438,37.304,54.897,26.748,74.146,89.69,84.718,79.582,57.021,70.433,84.469,87.185,76.628,87.118,83.118,73.147,80.271,82.899,72.374,68.748,71.688,45.494,89.873,86.517,78.105,69.847,53.438,61.03,50.095,83.508,89.607,71.433,81.176,72.082,80.392,87.289,74.185,68.385,76.287,35.827,43.893,32.185,70.15,65.326,58.23,56.858,44.192,39.552,68.602,39.715,51.445,62.668,62.168,55.078,57.069,54.844,51.156,39.931,91.178,69.336,73.235,71.304,82.767,64.281,72.71,5.315,9.016,23.625,62.045,92.169,72.195,75.849,9.221,15.188,16.203,18.045,8.722,10.789,0.075,19.549,1.917,0.789,14.286,9.098,1.504,3.233,1.767,0.564,3.797,20.451,20.301,19.474,7.556,7.363,10.122,3.343,23.87,35.923,0.377,37.759,44.068,21.704,38.465,32.815,22.081,3.625,6.026,10.546,12.712,16.431,3.625,40.652,7.46,32.672,27.951,5.524,1.039,1.039,0.85,1.558,0.897,2.55,9.112,42.016,15.01,45.154,61.161,36.099,59.539,68.026,57.333,44.433,67.989,68.692,5.34,77.848
