Demographic variable,Response,Count,ees,mw_p,op_p,lm_p,mt_p,ld_p,if_p,rw_p,pb_p,lc_p,HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
Z02,AO/AA,3331,59.451,60.956,79.159,68.263,74.97,51.372,72.085,72.081,31.892,46.756,32.198,66.765,79.363,69.175,66.556,37.282,52.553,78.018,80.294,70.974,81.528,75.558,63.967,73.888,77.878,65.251,65.282,66.837,41.451,83.654,77.524,63.713,60.866,48.962,52.335,43.308,75.083,82.04,59.193,72.072,63.912,76.218,85.194,69.581,67.68,69.922,28.228,38.457,28.949,61.587,57.293,48.841,48.465,38.954,36.118,58.346,29.065,42.238,57.336,57.126,42.702,50.542,48.467,38.792,24.737,87.166,56.838,66.897,64.331,73.896,52.014,62.364,10.334,13.619,26.574,49.473,82.245,57.543,63.969,16.241,15.926,11.481,22.593,7.222,15.926,2.778,23.148,3.704,2.037,29.074,8.148,2.037,2.778,6.667,21.296,6.481,13.333,18.519,18.519,5,14.655,17.623,14.344,36.68,35.861,2.459,46.311,46.107,21.926,42.828,38.115,22.951,6.352,3.893,12.91,24.18,15.574,1.434,49.897,9.856,30.185,28.337,1.027,1.232,1.437,0,4.723,1.643,3.08,8.214,46.901,17.782,43.182,60.788,40.969,46.393,50.348,43.894,33.505,51.49,57.749,14.243,68.932
Z02,EO,3604,62.463,71.454,82.024,71.852,81.205,58.474,77.623,73.466,37.506,51.083,29.222,70.397,86.619,77.623,74.631,49.235,69.056,80.367,83.685,73.827,85.571,81.621,67.843,77.722,81.667,70.876,67.847,71.015,40.411,86.583,83.449,73.548,65.186,55.738,59.788,53.155,81.2,85.694,68.325,75.306,67.583,75.007,84.789,72.045,66.954,74.417,35.859,44.111,32.5,66.213,60.595,54.217,53.115,39.167,38.628,62.841,35.649,49.18,62.771,63.104,50.639,55.265,52.513,44.914,33.602,87.007,67.899,69.727,67.195,76.598,58.899,67.28,8.384,12.869,29.192,49.554,90.631,63.524,67.785,15.425,18.116,13.043,25.725,9.42,17.029,2.355,28.442,4.529,2.899,25.543,9.783,1.993,1.812,5.435,19.203,8.696,19.746,16.486,13.949,5.797,13.619,16.598,10.041,32.787,36.27,1.025,40.984,46.516,24.385,40.369,40.164,25.41,7.172,6.762,16.189,20.082,19.467,1.639,52.147,9.816,32.106,28.834,3.476,2.045,1.227,1.227,4.09,3.476,2.454,4.703,44.672,14.345,44.536,66.803,40.826,51.397,56.308,48.95,37.014,56.156,60.927,12.109,74.589
Z02,SEO/HEO,5247,65.353,79.33,82.828,74.729,85.023,60.718,82.49,72.207,39.253,57.076,26.705,72.411,90.393,83.705,78.938,61.038,82.539,81.361,84.296,77.441,89.656,88.227,68.779,82.212,85.682,72.88,69.166,74.508,38.631,88.556,86.011,80.526,65.35,55.876,64.107,57.446,86.749,89.313,75.286,78.604,68.98,73.031,85.714,72.115,62.428,70.919,39.672,45.411,32.71,76.301,69.866,57.004,62.121,40.553,40.805,69.218,42.255,55.505,68.389,69.134,54.537,57.816,55.026,54.075,37.392,89.525,76.345,73.564,71.431,78.299,65.236,74.981,6.704,13.484,36.402,43.411,94.042,62.529,71.761,12.343,22.016,6.047,18.605,12.558,26.202,3.411,31.163,6.202,3.411,16.279,8.527,1.55,3.101,6.357,19.69,10.543,12.248,11.938,13.798,2.791,10.87,17.193,11.93,26.491,38.596,2.281,38.246,51.053,32.982,38.246,37.895,32.982,2.982,2.982,7.895,14.035,14.035,1.404,42.43,15.493,32.746,29.577,6.338,3.873,1.585,4.225,1.408,1.408,3.169,4.754,43.058,15.453,48.94,65.845,32.653,54.528,59.087,50.604,35.428,59.644,66.393,10.444,79.354
Z02,G6/7,2815,64.827,82.763,81.883,73.371,86.335,59.121,82.131,68.275,45.068,56.355,26.996,73.844,92.037,87.011,80.949,69.228,84.465,80.142,83.653,76.439,87.344,88.208,68.303,80.497,83.517,68.708,65.396,72.353,42.791,88.952,87.198,82.842,62.664,53.575,63.785,56.452,85.542,88.514,76.964,77.541,68.372,71.713,89.288,71.525,50.267,58.472,47.922,48.455,38.828,76.724,67.721,50.356,60.235,37.282,39.083,69.619,47.724,58.478,68.099,66.228,55.334,55.939,53.253,59.246,43.594,89.13,76.956,70.91,74.049,78.33,70.601,75.623,6.876,16.744,39.508,36.872,97.677,72.909,72.093,10.444,20.068,6.463,21.429,14.626,24.49,2.381,25.85,3.061,2.721,16.327,7.823,2.041,2.381,5.782,14.626,10.204,14.626,14.626,16.327,4.762,11.585,14.724,7.055,24.847,43.252,1.534,41.718,50.613,38.65,34.663,39.571,36.196,3.374,1.84,8.896,11.656,16.564,1.84,37.423,18.712,33.742,31.902,8.282,6.748,2.454,3.681,0.307,0.307,3.374,3.988,39.877,13.565,38.08,73.292,35.659,54.347,62.357,53.063,37.187,62.545,66.833,7.563,80.384
Z02,SCS,371,78.577,92.507,94.879,86.792,95.045,77.83,91.779,78.688,48.338,77.942,16.26,82.808,97.305,94.07,92.162,87.332,91.644,94.34,95.418,90.027,90.836,96.757,88.679,93.243,90.27,80.054,81.132,83.827,73.046,96.216,94.595,94.324,81.671,74.054,78.437,77.089,92.992,95.418,90.296,88.41,87.332,88.14,96.496,85.984,54.865,59.189,50.674,50.943,43.396,90.541,87.601,74.324,82.21,63.342,63.881,88.14,72.776,78.706,85.175,80.541,73.514,77.027,77.628,84.097,77.089,96.496,91.057,83.198,90.566,91.375,84.636,91.375,3.774,14.555,42.588,39.084,98.077,87.671,87.397,4.852,22.222,5.556,11.111,5.556,27.778,11.111,27.778,5.556,5.556,5.556,0,0,0,11.111,11.111,0,5.556,5.556,22.222,5.556,4.043,6.667,13.333,33.333,33.333,0,33.333,53.333,26.667,20,46.667,53.333,0,0,6.667,6.667,13.333,0,40,13.333,13.333,40,6.667,20,0,0,0,0,0,6.667,20,13.333,46.667,80,[c],68.392,81.199,66.485,43.052,82.385,79.133,3.533,90.515
H01,East Midlands (England),653,61.192,69.686,83.997,71.805,81.521,56.815,75.191,69.28,37.474,50.931,30.942,69.176,84.992,78.067,70.416,48.694,65.951,81.623,86.371,73.66,84.533,83.385,68.558,77.335,79.724,68.913,67.747,71.142,42.857,85.605,83.461,75.498,65.337,51.761,58.986,51.302,76.227,84.178,64.264,76.074,61.656,73.313,84.356,68.405,59.877,67.994,36.963,43.252,32.104,66.003,61.043,51.613,53.763,40.735,38.897,62.423,34.303,49.462,62.481,58.04,48.308,52.986,52.221,43.951,32.104,86.983,67.228,71.166,68.252,77.147,57.58,67.643,9.217,12.135,27.496,51.152,89.937,64.094,65.3,18.07,16.949,10.169,23.729,9.322,15.254,2.542,27.966,9.322,4.237,27.966,12.712,0.847,5.085,7.627,21.186,11.864,21.186,16.949,19.492,4.237,16.539,20.37,13.889,41.667,39.815,0,39.815,47.222,21.296,39.815,38.889,28.704,3.704,3.704,15.741,22.222,20.37,0.926,54.63,14.815,32.407,30.556,3.704,0,0,0.926,2.778,2.778,3.704,4.63,51.852,18.519,35.185,64.486,35.714,49.228,54.321,44.376,31.481,54.224,56.462,13.825,74.154
H01,East of England,498,64.678,73.976,79.819,70.413,80.991,54.719,77.46,71.914,35.743,50.655,28.756,71.881,88.554,81.124,77.309,52.209,70.683,78.514,81.087,72.032,84.708,81.414,65.462,77.309,79.317,68.952,67.409,68.548,38.755,85.743,82.53,74.699,60.04,50.402,57.831,50.602,79.92,84.507,68.813,76.506,67.671,76.861,87.55,70.08,61.847,67.47,34.94,40.161,32.129,66.801,62.575,51.815,54.125,40.644,35.614,61.46,36.546,47.082,67.606,57.948,56.942,53.924,52.918,44.869,32.53,89.96,68.273,71.227,68.41,76.506,56.25,68.826,7.056,12.097,28.831,52.016,86.382,64.826,71.605,15.121,25.333,10.667,20,9.333,26.667,1.333,17.333,4,4,21.333,10.667,5.333,5.333,9.333,22.667,5.333,10.667,14.667,25.333,6.667,13.454,22.388,10.448,40.299,29.851,1.493,44.776,46.269,25.373,40.299,38.806,31.343,7.463,2.985,14.925,20.896,11.94,0,44.776,5.97,31.343,29.851,2.985,2.985,4.478,0,2.985,0,4.478,5.97,37.313,15.152,39.394,66.667,52,52.41,59.557,52.823,43.574,57.43,60.643,13.655,76.66
H01,London,4584,64.202,77.817,80.657,72.984,83.646,58.217,80.431,70.604,37.014,56.461,27.396,71.888,89.657,81.389,77.78,60.856,79.306,78.682,82.646,76.211,86.978,86.592,66.273,80.437,84.024,70.385,67.09,72.805,38.972,87.658,84.699,78.61,63.327,52.845,62.73,53.806,84.573,87.702,74.164,75.311,70.02,72.33,87.618,73.684,56.874,63.043,38.362,40.638,32.001,76.408,68.874,53.094,61.774,40.219,39.576,68.94,44.294,54.677,66.805,66.069,51.475,55.631,52.63,56.365,37.692,88.51,73.644,69.926,70.938,76.098,66.361,74.688,8.107,19.566,43.449,28.878,94.06,60.822,69.059,10.813,24.341,6.085,21.907,21.095,25.761,2.637,34.483,8.722,1.217,17.85,8.114,0.609,2.84,4.868,15.619,15.822,10.345,12.576,13.59,4.057,11.249,15.759,10.7,25.486,43.969,3.696,43.774,54.669,38.716,38.911,37.16,35.214,3.891,1.751,8.949,13.424,13.424,2.14,38.402,15.984,37.427,32.359,5.458,5.848,1.559,3.704,1.949,0.78,2.729,4.678,44.444,14.8,44.773,69.216,35.242,51.844,58.566,49.846,33.092,60.28,68.061,9.36,77.931
H01,North East England,795,61.184,69.155,82.704,72.396,83.187,57.925,77.484,73.677,38.574,52.076,28.989,70.172,83.753,77.03,71.049,48.172,65.912,82.516,82.893,74.717,85.409,80.531,68.474,78.113,81.258,70.455,67.929,70.781,46.212,88.428,85.013,76.101,67.17,53.149,61.441,50.126,80.126,86.792,65.786,77.233,67.044,76.196,85.66,71.069,67.339,74.717,36.352,44.403,34.969,67.506,63.005,55.626,54.214,39.421,37.909,64.484,36.352,50.126,59.497,60.377,49.937,53.788,53.333,46.096,36.066,87.17,65.995,72.005,70.189,80.503,70.907,70.87,8.838,11.237,25.126,54.798,92.386,73.764,71.701,14.358,11.607,11.607,21.429,8.036,11.607,4.464,28.571,3.571,3.571,23.214,15.179,2.679,1.786,5.357,16.071,4.464,20.536,23.214,20.536,2.679,12.453,11.111,10.101,25.253,38.384,0,43.434,49.495,26.263,42.424,34.343,23.232,8.081,5.051,15.152,22.222,14.141,2.02,53.535,11.111,36.364,36.364,3.03,0,1.01,0,4.04,2.02,4.04,4.04,36.735,10.204,47.475,65.657,30.556,52.086,57.848,47.529,38.432,54.924,58.586,11.869,77.806
H01,North West England,1679,61.893,71.042,83.82,72.65,81.744,57.379,78.335,71.6,35.09,51.674,28.953,70.541,85.995,79.045,72.418,50.656,67.123,82.528,85.101,74.791,87.029,83.144,69.934,79.261,83.005,68.9,67.725,70.036,42.439,87.768,83.055,74.359,64.162,54.214,59.534,51.551,82.349,87.306,67.104,76.653,66.965,73.986,83.711,69.654,63.799,71.36,33.552,40.727,30.971,68.534,62.336,53.373,52.924,38.939,37.664,63.582,37.269,50.536,58.76,62.888,49.702,54.214,52.355,46.838,36.553,88.074,66.408,71.147,69.547,77.414,62.254,68.918,8.348,11.21,29.457,50.984,90.746,68,69.838,13.639,20.264,11.894,22.026,7.048,12.335,1.762,26.872,1.762,2.643,30.396,12.775,1.322,2.203,4.846,17.181,7.048,16.3,14.978,14.978,5.727,12.098,14.778,12.315,31.527,39.409,2.463,45.32,51.724,28.571,39.409,45.32,26.108,4.433,3.448,13.3,17.734,20.69,0.493,43.35,7.882,28.571,35.468,5.911,2.956,0,0.985,3.941,2.463,3.941,5.911,43.284,14.428,48.515,66.832,41.379,51.945,57.596,49.251,37.463,57.433,62.209,12.194,75.716
