code,label,description
ees,Employee engagement index,Questions B47 to B51
mw_p,My work,Questions B01 to B05
op_p,Organisational objectives and purpose,Questions B06 to B07
lm_p,My manager,Questions B08 to B17
mt_p,My team,Questions B18 to B20
ld_p,Learning and development,Questions B21 to B24
if_p,Inclusion and fair treatment,Questions B25 to B28
rw_p,Resources and workload,Questions B29 to B34
pb_p,Pay and benefits,Questions B35 to B37
lc_p,Leadership and managing change,Questions B38 to B46
HSE_index,Proxy stress index,Questions about wellbeing. A higher score indicates higher levels of stress higher stress.
PERMA_index,PERMA index,Questions about wellbeing as measured by the PERMA Index. A higher score indicates higher levels of flourishing.
B01,I am interested in my work,I am interested in my work (% strongly agree or agree)
B02,I am sufficiently challenged by my work,I am sufficiently challenged by my work (% strongly agree or agree)
B03,My work gives me a sense of personal accomplishment,My work gives me a sense of personal accomplishment (% strongly agree or agree)
B04,I feel involved in the decisions that affect my work,I feel involved in the decisions that affect my work (% strongly agree or agree)
B05,I have a choice in deciding how I do my work,I have a choice in deciding how I do my work (% strongly agree or agree)
B06,I have a clear understanding of [my organisation's] objectives,I have a clear understanding of [my organisation's] objectives (% strongly agree or agree)
B07,I understand how my work contributes to [my organisation's] objectives,I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree)
B08,My manager motivates me to be more effective in my job,My manager motivates me to be more effective in my job (% strongly agree or agree)
B09,My manager is considerate of my life outside work,My manager is considerate of my life outside work (% strongly agree or agree)
B10,My manager is open to my ideas,My manager is open to my ideas (% strongly agree or agree)
B11,My manager helps me to understand how I contribute to [my organisation's] objectives,My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree)
B12,"Overall, I have confidence in the decisions made by my manager","Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)"
B13,My manager recognises when I have done my job well,My manager recognises when I have done my job well (% strongly agree or agree)
B14,I receive regular feedback on my performance,I receive regular feedback on my performance (% strongly agree or agree)
B15,The feedback I receive helps me to improve my performance,The feedback I receive helps me to improve my performance (% strongly agree or agree)
B16,I think that my performance is evaluated fairly,I think that my performance is evaluated fairly (% strongly agree or agree)
B17,Poor performance is dealt with effectively in my team,Poor performance is dealt with effectively in my team (% strongly agree or agree)
B18,The people in my team can be relied upon to help when things get difficult in my job,The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree)
B19,The people in my team work together to find ways to improve the service we provide,The people in my team work together to find ways to improve the service we provide (% strongly agree or agree)
B20,The people in my team are encouraged to come up with new and better ways of doing things,The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree)
B21,I am able to access the right learning and development opportunities when I need to,I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
B22,Learning and development activities I have completed in the past 12 months have helped to improve my performance,Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree)
B23,There are opportunities for me to develop my career in [my organisation],There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree)
B24,Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree)
B25,I am treated fairly at work,I am treated fairly at work (% strongly agree or agree)
B26,I am treated with respect by the people I work with,I am treated with respect by the people I work with (% strongly agree or agree)
B27,I feel valued for the work I do,I feel valued for the work I do (% strongly agree or agree)
B28,"I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)","I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)"
B29,I get the information I need to do my job well,I get the information I need to do my job well (% strongly agree or agree)
B30,I have clear work objectives,I have clear work objectives (% strongly agree or agree)
B31,I have the skills I need to do my job effectively,I have the skills I need to do my job effectively (% strongly agree or agree)
B32,I have the tools I need to do my job effectively,I have the tools I need to do my job effectively (% strongly agree or agree)
B33,I have an acceptable workload,I have an acceptable workload (% strongly agree or agree)
B34,I achieve a good balance between my work life and my private life,I achieve a good balance between my work life and my private life (% strongly agree or agree)
B35,I feel that my pay adequately reflects my performance,I feel that my pay adequately reflects my performance (% strongly agree or agree)
B36,I am satisfied with the total benefits package,I am satisfied with the total benefits package (% strongly agree or agree)
B37,Compared to people doing a similar job in other organisations I feel my pay is reasonable,Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree)
B38,[Senior managers] in [my organisation] are sufficiently visible,[Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree)
B39,I believe the actions of [senior managers] are consistent with [my organisation's] values,I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree)
B40,I believe that [my organisation's] senior leaders have a clear vision for the future of [my organisation],I believe that [my organisation's] senior leaders have a clear vision for the future of [my organisation] (% strongly agree or agree)
B41,"Overall, I have confidence in the decisions made by [my organisation's senior managers]","Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)"
B42,I feel that change is managed well in [my organisation],I feel that change is managed well in [my organisation] (% strongly agree or agree)
B43,When changes are made in [my organisation] they are usually for the better,When changes are made in [my organisation] they are usually for the better (% strongly agree or agree)
B44,[My organisation] keeps me informed about matters that affect me,[My organisation] keeps me informed about matters that affect me (% strongly agree or agree)
B45,I have the opportunity to contribute my views before decisions are made that affect me,I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree)
B46,I think it is safe to challenge the way things are done in [my organisation],I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree)
B47,I am proud when I tell others I am part of [my organisation] ,I am proud when I tell others I am part of [my organisation] (% strongly agree or agree)
B48,I would recommend [my organisation] as a great place to work,I would recommend [my organisation] as a great place to work (% strongly agree or agree)
B49,I feel a strong personal attachment to [my organisation],I feel a strong personal attachment to [my organisation] (% strongly agree or agree)
B50,[My organisation] inspires me to do the best in my job,[My organisation] inspires me to do the best in my job (% strongly agree or agree)
B51,[My organisation] motivates me to help it achieve its objectives,[My organisation] motivates me to help it achieve its objectives (% strongly agree or agree)
B52,,I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree)
B53,,"Where I work, I think effective action has been taken on the results of the last survey (% strongly agree or agree)"
B54,,I am trusted to carry out my job effectively (% strongly agree or agree)
B55,,"I believe I would be supported if I try a new idea, even if it may not work (% strongly agree or agree)"
B56,,"In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk (% strongly agree or agree)"
B57,,I feel able to challenge inappropriate behaviour in the workplace (% strongly agree or agree)
B58,,My organisation is committed to creating a diverse and inclusive workplace (% strongly agree or agree)
B59,,I am aware of the Civil Service vision for 'A Brilliant Civil Service' (% strongly agree or agree)
B60,,Managers in my Area/Directorate/Division actively role model the behaviours set out in the Civil Service Leadership Statement (% always or most of the time)
C01_1,,I want to leave [my organisation] as soon as possible (% selecting this answer for C01)
C01_2,,I want to leave [my organisation] within the next 12 months (% selecting this answer for C01)
C01_3,,I want to stay working for [my organisation] for at least the next year (% selecting this answer for C01)
C01_4,,I want to stay working for [my organisation] for at least the next three years (% selecting this answer for C01)
D01,,Are you aware of the Civil Service Code? (% yes)
D02,,Are you aware of how to raise a concern under the Civil Service Code? (% yes)
D03,,Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes)
E01,,"Have you been discriminated against at work, in the past 12 months? (% yes)"
E02_01,,Grounds of discrimination – Age (% yes to E01 selecting this option)
E02_02,,Grounds of discrimination – Caring responsibilities (% yes to E01 selecting this option)
E02_03,,Grounds of discrimination – Disability (% yes to E01 selecting this option)
