Demographic variable,Response,ees,mw_p,op_p,lm_p,mt_p,ld_p,if_p,rw_p,pb_p,lc_p,HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
Male,Heterosexual/straight,64.231,78.878,82.432,74.584,84.253,57.41,82.154,75.073,35.835,53.988,26.137,74.058,90.352,84.567,79.625,63.099,76.714,80.13,84.731,76.55,87.49,85.24,70.766,81.606,83.885,71.767,68.346,73.119,47.011,88.786,85.74,78.239,66.429,52.021,58.846,52.321,84.919,89.603,73.753,80.331,72.281,78.809,88.606,72.55,65.799,72.373,36.273,41.609,29.622,68.576,65.285,53.484,56.713,39.387,37.633,67.843,42.531,54.418,64.116,62.646,55.743,54.88,52.657,49.857,37.064,90.952,72.558,71.222,76.436,81.87,56.49,72.402,5.753,10.875,29.131,54.241,91.015,69.539,74.447,7.755,18.22,10.126,13.453,15.005,9.713,0.145,24.26,3.908,1.697,12.817,13.721,0.737,4.533,2.4,1.195,6.766,17.104,16.624,22.575,7.525,6.53,10.919,1.714,26.953,39.32,1.01,36.079,46.52,26.528,39.453,35.8,24.163,2.922,4.57,7.678,10.135,15.409,2.736,37.297,11.035,32.613,31.332,4.524,1.882,1.374,2.255,2.669,1.481,2.922,7.446,36.794,12.572,37.872,63.188,35.254,61.111,67.726,58.8,48.773,72.926,73.016,4.861,76.879
Male,Gay or Lesbian,64.702,77.479,82.89,74.872,84.068,58.444,82.314,72.938,36.537,55.697,26.676,72.523,89.003,82.993,78.711,60.569,76.102,81.182,84.608,76.856,87.923,85.876,71.084,81.445,84.49,72.88,69.895,73.643,44.486,88.664,85.587,77.972,65.095,54.375,60.641,53.648,85.236,89.147,74.309,80.623,70.37,75.56,87.365,73.225,61.594,69.49,36.532,41.364,31.717,71.611,66.442,54.252,58.502,40.883,40.913,68.774,43.858,56.207,66.936,65.387,53.671,57.157,54.354,52.444,38.678,89.592,72.439,71.277,73.934,81.521,62.056,71.684,7.273,14.057,33.885,44.786,92.457,67.641,72.783,10.034,19.192,7.239,18.182,10.606,9.596,0.168,25.758,5.556,3.03,18.687,9.091,0.673,2.357,4.545,36.027,8.249,16.835,13.805,14.983,5.051,10.335,14.007,7.003,27.85,40.391,1.792,40.391,49.349,28.013,38.274,38.436,26.059,3.909,3.583,9.121,12.866,15.147,1.792,44.354,12.93,32.733,31.26,5.565,3.601,1.473,1.637,3.273,1.309,3.273,4.746,39.315,13.189,45.649,66.121,35.685,54.684,59.983,52.366,38.814,64.151,67.793,8.942,77.978
Male,Bisexual,62.399,72.987,80.653,72.037,81.304,56.321,78.236,70.776,36.468,52.502,28.461,69.467,85.56,78.362,73.673,55.584,71.803,78.869,82.416,74.615,86.42,82.043,65.278,77.995,82.58,69.021,66.993,71.296,44.159,86.728,83.299,73.895,61.305,52.651,58.621,52.626,81.603,86.536,70.247,74.576,66.718,72.61,85.288,68.261,62.86,68.879,36.948,41.697,30.781,67.729,63.117,51.261,55.172,39.075,39.075,64.146,39.702,53.135,63.996,64.591,51.339,55.55,53.011,46.3,32.441,87.506,69.444,70.525,71.069,75.231,58.187,69.757,10.021,13.791,33.626,42.562,91.636,65.556,67.444,13.875,20,11.111,23.704,13.333,14.815,1.111,31.481,10.37,2.222,25.926,12.222,0.741,4.815,5.185,13.333,11.481,15.926,15.556,18.519,5.185,10.169,23.737,9.091,42.929,44.444,3.535,46.465,53.03,36.869,45.455,44.949,29.293,7.576,6.566,13.131,20.202,18.182,1.01,45.96,13.131,40.909,32.828,3.535,2.02,1.515,5.051,2.02,3.535,3.535,4.545,38.889,8.122,32.828,68.182,48.052,48.068,52.138,45.046,34.673,56.996,62.108,14.168,74.356
Male,Other,56.973,66.829,72.195,69.805,75.691,50.915,71.455,67.894,33.902,43.598,31.304,66.411,81.663,72.439,67.073,49.024,63.902,70.732,73.659,72.372,82.885,81.707,61.125,77.317,80.44,67.805,64.792,67.805,41.951,83.171,77.561,66.341,57.073,48.411,52.812,45.366,74.328,80.147,66.093,65.526,61.22,71.883,81.463,63.971,62.103,66.504,34.634,38.049,29.024,58.537,53.545,41.565,42.195,30.976,30.562,58.78,31.951,44.01,52.451,51.951,48.148,43.659,42.054,37.897,28.049,82.396,59.756,61.029,68.78,66.259,48.537,58.853,14.181,10.758,26.65,48.411,84.833,57.99,56.072,20,23.171,15.854,23.171,17.073,18.293,3.659,23.171,4.878,2.439,18.293,15.854,2.439,3.659,6.098,14.634,10.976,18.293,21.951,25.61,3.659,12.439,19.608,3.922,29.412,33.333,0,43.137,45.098,21.569,47.059,29.412,21.569,7.843,3.922,5.882,21.569,23.529,5.882,41.176,13.725,29.412,43.137,1.961,1.961,1.961,0,5.882,1.961,7.843,9.804,52.941,13.725,27.451,66.667,25.926,43.457,46.173,42.857,39.012,52.941,56.265,17.445,71.569
Female,Heterosexual/straight,66.811,78.873,86.753,74.18,85.209,60.576,82.419,77.097,41.333,57.156,26.479,74.981,92.153,85.199,81.856,59.823,75.303,85.805,87.7,76.584,87.514,84.362,71.908,80.41,83.634,71.983,69.589,72.781,42.953,89.247,86.542,79.853,71.73,56.131,61.666,52.757,84.755,89.483,73.883,81.528,74.042,81.02,88.771,77.071,66.94,74.721,40.005,48.299,35.714,73.828,68.091,60.967,61.096,45.947,40.951,70.554,41.064,51.897,69.833,66.352,58.301,61.069,57.629,55.895,42.418,92.073,71.796,74.828,69.017,82.702,65.816,74.908,4.56,9.2,26.415,59.826,91.536,69.036,76.268,9.08,15.088,15.998,14.155,10.824,16.789,0.055,21.964,2.738,1.274,12.343,7.168,2.571,1.899,2.88,0.245,3.901,16.948,21.188,18.158,6.456,8.145,9.06,5.35,24.705,38.11,0.467,39.318,42.112,22.184,35.766,34.603,24.96,2.635,4.195,8.505,11.66,15.644,2.371,43.047,9.418,30.875,23.042,5.94,2.098,1.124,1.319,1.434,0.938,2.523,8.577,47.565,19.743,47.316,56.193,30.665,61.189,70.094,59.124,43.185,69.318,70.128,5.306,79.782
Female,Gay or Lesbian,65.975,75.994,85.791,72.038,83.351,60.595,80.563,74.707,42.329,55.656,27.694,73.717,90.171,81.27,78.352,56.384,73.69,85.078,86.534,74.884,84.766,84.382,68.522,79.302,82.21,68.741,66.965,70.347,40.343,88.311,83.773,77.968,67.249,55.139,63.834,56.094,83.826,88.049,70.964,79.366,71.123,77.282,88.191,74.545,64.727,72.345,41.497,48.361,37.099,73.039,67.131,58.943,60.235,42.918,40.25,66.607,39.551,52.014,68.864,66.061,57.423,59.094,55.769,51.642,38.28,90.196,71.077,73.6,71.52,80.542,63.5,72.6,4.93,11.218,27.617,56.234,89.879,68.282,72.67,12.38,13.873,8.092,17.052,6.069,23.988,3.179,22.254,2.601,2.312,13.873,5.78,1.156,0.578,6.647,23.121,3.179,13.295,10.694,14.451,4.335,10.905,16.066,12.459,31.148,35.082,2.295,40,46.23,26.557,32.787,38.689,27.213,1.639,2.623,11.803,16.393,13.443,0.984,44.59,10.82,30.492,28.197,5.902,3.279,0.984,1.639,1.639,0.984,2.295,4.59,49.671,15.878,49.667,66.89,36,60.56,67.243,57.061,42.158,65.309,67.906,7.511,77.528
Female,Bisexual,64.892,73.762,82.91,73.048,82.561,61.594,79.049,72.228,43.015,55.345,28.735,70.916,88.748,79.528,75.863,50.888,73.722,81.599,84.22,76.02,87.43,84.914,67.727,79.974,83.121,70.074,68.965,73.926,38.174,87.046,84.332,76.265,66.702,57.953,64.445,57.249,83.757,86.539,70.75,75.126,68.22,75.106,86.352,73.575,62.689,67.435,41.684,50.172,37.209,75.271,67.885,57.325,61.294,41.229,40.843,66.013,37.344,50.755,67.718,68.462,50.584,57.779,55.011,53.247,34.076,89.38,71.561,73.54,66.622,74.98,63.921,73.645,6.713,14.778,36.88,41.629,89.374,55.709,68.607,15.115,21.441,9.49,23.199,8.436,31.634,1.933,27.417,1.406,2.46,23.726,4.394,3.163,1.933,5.975,7.557,8.963,11.424,15.29,13.181,4.042,14.891,15.508,16.934,29.412,35.472,1.426,40.82,43.137,25.668,38.859,36.007,29.768,5.169,2.852,11.943,19.786,14.973,1.961,48.577,15.125,28.114,21.886,3.559,4.093,2.491,2.491,3.203,1.423,2.313,6.584,49.732,21.261,49.46,61.649,35.612,48.977,54.959,45.162,28.845,49.376,60.574,12.354,77.757
Female,Other,62.292,72.28,80.675,70.606,79.612,57.364,74.859,68.906,38.462,50.065,30.613,69.981,87.43,77.736,75.33,50.376,70.544,79.55,81.801,73.872,84.746,82.895,65.038,76.173,82.364,68.856,64.65,70.113,37.218,85.178,82.176,71.482,61.538,54.972,59.774,53.195,79.737,85.178,66.541,67.917,61.163,71.107,86.466,67.857,58.912,67.917,37.711,43.902,33.647,72.608,63.346,50.281,52.533,34.522,36.961,64.728,32.392,43.126,61.914,61.914,44.528,53.283,51.22,48.405,32.015,88.18,66.165,66.792,61.163,73.546,61.351,71.132,7.736,14.34,30,47.925,92.381,55.344,65.769,17.636,19.149,4.255,35.106,12.766,27.66,5.319,25.532,7.447,1.064,29.787,6.383,2.128,6.383,12.766,11.702,13.83,12.766,11.702,17.021,3.191,15.76,15.476,13.095,29.762,34.524,1.19,40.476,47.619,33.333,30.952,38.095,34.524,8.333,0,13.095,26.19,17.857,1.19,51.19,11.905,28.571,26.19,5.952,2.381,1.19,2.381,2.381,2.381,2.381,1.19,44.048,17.857,41.667,71.429,32.432,46.604,53.208,45.66,30.943,48.868,56.038,15.312,73.019
Other,Heterosexual/straight,60.938,86.25,81.25,74.375,75,50,90.625,82.292,18.75,43.75,29.883,72.813,93.75,87.5,93.75,75,81.25,75,87.5,81.25,100,87.5,87.5,81.25,75,68.75,62.5,68.75,31.25,75,87.5,62.5,56.25,50,62.5,31.25,93.75,100,87.5,81.25,87.5,75,93.75,81.25,68.75,87.5,12.5,25,18.75,56.25,50,43.75,68.75,25,18.75,62.5,18.75,50,50,62.5,56.25,43.75,50,31.25,25,100,68.75,50,50,68.75,43.75,68.75,0,0,46.667,53.333,100,33.333,46.667,12.5,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],12.5,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],31.25,43.75,50,25,43.75,62.5,18.75,87.5
Other,Gay or Lesbian,62.273,69.091,83.333,73.636,81.818,57.576,80.303,73.737,40.404,59.259,28.314,68.788,81.818,81.818,69.697,40.625,69.697,81.818,84.848,72.727,93.939,78.788,66.667,78.788,78.788,69.697,72.727,84.848,39.394,84.848,81.25,78.788,51.515,57.576,66.667,54.545,87.879,84.848,78.788,69.697,69.697,69.697,84.848,84.848,69.697,63.636,42.424,42.424,36.364,81.818,75.758,57.576,66.667,51.515,42.424,63.636,42.424,51.515,54.545,75.758,45.455,48.485,48.485,42.424,30.303,87.879,72.727,75.758,63.636,72.727,66.667,72.727,6.061,18.182,36.364,39.394,84.375,56.25,81.25,18.182,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],15.152,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],45.455,51.515,42.424,33.333,54.545,45.455,24.242,75.758
