code,label,description
ees,Employee engagement index,"Questions B47 to B51. 

The engagement index is calculated as the average engagement score in the each organisation. For each respondent, an engagement score is calculated as the average score across the five questions where “strongly disagree” is equivalent to 0 and “strongly agree” is equivalent to 100."
mw_p,My work,"Questions B01 to B05.

The headline theme score is calculated as the median percentage of “agree” and “strongly agree” responses across the organisation."
op_p,Organisational objectives and purpose,"Questions B06 to B07.

The headline theme score is calculated as the median percentage of “agree” and “strongly agree” responses across the organisation."
lm_p,My manager,"Questions B08 to B17.

The headline theme score is calculated as the median percentage of “agree” and “strongly agree” responses across the organisation."
mt_p,My team,"Questions B18 to B20.

The headline theme score is calculated as the median percentage of “agree” and “strongly agree” responses across the organisation."
ld_p,Learning and development,"Questions B21 to B24.

The headline theme score is calculated as the median percentage of “agree” and “strongly agree” responses across the organisation."
if_p,Inclusion and fair treatment,"Questions B25 to B28.

The headline theme score is calculated as the median percentage of “agree” and “strongly agree” responses across the organisation."
rw_p,Resources and workload,"Questions B29 to B34.

The headline theme score is calculated as the median percentage of “agree” and “strongly agree” responses across the organisation."
pb_p,Pay and benefits,"Questions B35 to B37.

The headline theme score is calculated as the median percentage of “agree” and “strongly agree” responses across the organisation."
lc_p,Leadership and managing change,"Questions B38 to B46.

The headline theme score is calculated as the median percentage of “agree” and “strongly agree” responses across the organisation."
HSE_index,Proxy stress index,"A measure of wellbeing. A lower result represents a greater capacity to prevent and manage stress in a team.  Questions B05, B08, B18, B26, B30, B33, B45 and E03.

For each respondent, a proxy stress score is calculated as the average score across the eight questions. The  index is the average score of all respondents."
PERMA_index,PERMA index,"A measure of wellbeing, measuring positive emotion, engagement, relationships, meaning and accomplishment. A higher result represents a higher level of flourishing or engagement at an individual or team level.  Questions B01, B03, B18, W01 and W02. 

For each respondent, an PERMA score is calculated as the average score across the five questions. The PERMA index is the mean score of all 5 questions."
B01,I am interested in my work,Results are a percentage of respondents who “agree” or “strongly agree” 
B02,I am sufficiently challenged by my work,Results are a percentage of respondents who “agree” or “strongly agree” 
B03,My work gives me a sense of personal accomplishment,Results are a percentage of respondents who “agree” or “strongly agree” 
B04,I feel involved in the decisions that affect my work,Results are a percentage of respondents who “agree” or “strongly agree” 
B05,I have a choice in deciding how I do my work,Results are a percentage of respondents who “agree” or “strongly agree” 
B06,I have a clear understanding of [my organisation's] objectives,Results are a percentage of respondents who “agree” or “strongly agree” 
B07,I understand how my work contributes to [my organisation's] objectives,Results are a percentage of respondents who “agree” or “strongly agree” 
B08,My manager motivates me to be more effective in my job,Results are a percentage of respondents who “agree” or “strongly agree” 
B09,My manager is considerate of my life outside work,Results are a percentage of respondents who “agree” or “strongly agree” 
B10,My manager is open to my ideas,Results are a percentage of respondents who “agree” or “strongly agree” 
B11,My manager helps me to understand how I contribute to [my organisation's] objectives,Results are a percentage of respondents who “agree” or “strongly agree” 
B12,"Overall, I have confidence in the decisions made by my manager",Results are a percentage of respondents who “agree” or “strongly agree” 
B13,My manager recognises when I have done my job well,Results are a percentage of respondents who “agree” or “strongly agree” 
B14,I receive regular feedback on my performance,Results are a percentage of respondents who “agree” or “strongly agree” 
B15,The feedback I receive helps me to improve my performance,Results are a percentage of respondents who “agree” or “strongly agree” 
B16,I think that my performance is evaluated fairly,Results are a percentage of respondents who “agree” or “strongly agree” 
B17,Poor performance is dealt with effectively in my team,Results are a percentage of respondents who “agree” or “strongly agree” 
B18,The people in my team can be relied upon to help when things get difficult in my job,Results are a percentage of respondents who “agree” or “strongly agree” 
B19,The people in my team work together to find ways to improve the service we provide,Results are a percentage of respondents who “agree” or “strongly agree” 
B20,The people in my team are encouraged to come up with new and better ways of doing things,Results are a percentage of respondents who “agree” or “strongly agree” 
B21,I am able to access the right learning and development opportunities when I need to,Results are a percentage of respondents who “agree” or “strongly agree” 
B22,Learning and development activities I have completed in the past 12 months have helped to improve my performance,Results are a percentage of respondents who “agree” or “strongly agree” 
B23,There are opportunities for me to develop my career in [my organisation],Results are a percentage of respondents who “agree” or “strongly agree” 
B24,Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,Results are a percentage of respondents who “agree” or “strongly agree” 
B25,I am treated fairly at work,Results are a percentage of respondents who “agree” or “strongly agree” 
B26,I am treated with respect by the people I work with,Results are a percentage of respondents who “agree” or “strongly agree” 
B27,I feel valued for the work I do,Results are a percentage of respondents who “agree” or “strongly agree” 
B28,"I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)",Results are a percentage of respondents who “agree” or “strongly agree” 
B29,I get the information I need to do my job well,Results are a percentage of respondents who “agree” or “strongly agree” 
B30,I have clear work objectives,Results are a percentage of respondents who “agree” or “strongly agree” 
B31,I have the skills I need to do my job effectively,Results are a percentage of respondents who “agree” or “strongly agree” 
B32,I have the tools I need to do my job effectively,Results are a percentage of respondents who “agree” or “strongly agree” 
B33,I have an acceptable workload,Results are a percentage of respondents who “agree” or “strongly agree” 
B34,I achieve a good balance between my work life and my private life,Results are a percentage of respondents who “agree” or “strongly agree” 
B35,I feel that my pay adequately reflects my performance,Results are a percentage of respondents who “agree” or “strongly agree” 
B36,I am satisfied with the total benefits package,Results are a percentage of respondents who “agree” or “strongly agree” 
B37,Compared to people doing a similar job in other organisations I feel my pay is reasonable,Results are a percentage of respondents who “agree” or “strongly agree” 
B38,[Senior managers] in [my organisation] are sufficiently visible,Results are a percentage of respondents who “agree” or “strongly agree” 
B39,I believe the actions of [senior managers] are consistent with [my organisation's] values,Results are a percentage of respondents who “agree” or “strongly agree” 
B40,I believe that [my organisation's] senior leaders have a clear vision for the future of [my organisation],Results are a percentage of respondents who “agree” or “strongly agree” 
